,COUNT,VAL,CAP,COLOR
1BED,100,5100,800000,4286f4
2BED,100,4800,1800000,99ff66
3BED,100,4500,2500000,ffff66
PHSINGLE,0,0,0,9966ff
PHDOUBLE,0,0,0,6600ff
D3BED ,0,0,0,ffcc00
D4BED,0,0,0,33cccc
