,COUNT,VAL,CAP,COLOR
1BED,100,300,1000000,4286f4
2BED,100,500,1000000,99ff66
3BED,100,800,1000000,ffff66
PHSINGLE,0,1800,1000000,9966ff
PHDOUBLE,0,1800,1000000,6600ff
D3BED ,0,1000,1000000,ffcc00
D4BED,0,1500,1000000,33cccc
